device_name,zone_name
wg3-1_0001,zone_5
wg3-1_0002,zone_5
wg3-1_0003,zone_5
wg3-1_0004,zone_5
wg3-1_0005,zone_5
wg3-1_0006,zone_5
wg3-1_0007,zone_5
wg3-1_0008,zone_5
wg3-1_0009,zone_5
wg3-1_0010,zone_5
wg3-1_0011,zone_4
wg3-1_0012,zone_4
wg3-1_0013,zone_4
wg3-1_0014,zone_4
wg3-1_0015,zone_4
wg3-1_0016,zone_4
wg3-1_0017,zone_4
wg3-1_0018,zone_4
wg3-1_0019,zone_4
wg3-1_0020,zone_4
wg3-1_0021,zone_4
wg3-1_0022,zone_4
wg3-1_0023,zone_3
wg3-1_0024,zone_3
wg3-1_0025,zone_3
wg3-1_0026,zone_3
wg3-1_0027,zone_3
wg3-1_0028,zone_3
wg3-1_0029,zone_3
wg3-1_0030,zone_3
wg3-1_0031,zone_3
wg3-1_0032,zone_3
wg3-1_0033,zone_2
wg3-1_0034,zone_2
wg3-1_0035,zone_2
wg3-1_0036,zone_1
wg3-1_0037,zone_1
wg3-1_0038,zone_1
wg3-1_0039,zone_6
wg3-1_0040,zone_6
wg3-1_0041,zone_7
wg3-1_0042,zone_7
wg3-1_0043,zone_8
wg3-1_0044,zone_3
